danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,playlist
0.584,0.79,2,-6.544,1,0.0412,0.0444,4.22e-05,0.0734,0.691,123.961,audio_features,0yGeVoWrSc7Ocnv8sSouNC,spotify:track:0yGeVoWrSc7Ocnv8sSouNC,https://api.spotify.com/v1/tracks/0yGeVoWrSc7Ocnv8sSouNC,https://api.spotify.com/v1/audio-analysis/0yGeVoWrSc7Ocnv8sSouNC,214950,4,Gonna Wanna Tonight: Chase Rice ,Top 100 Country Tracks on Spotify
0.543,0.851,11,-4.197,1,0.0381,0.207,0,0.0655,0.779,166.054,audio_features,6jwEaYcBMil5kYR35BCMZT,spotify:track:6jwEaYcBMil5kYR35BCMZT,https://api.spotify.com/v1/tracks/6jwEaYcBMil5kYR35BCMZT,https://api.spotify.com/v1/audio-analysis/6jwEaYcBMil5kYR35BCMZT,183280,4,Show You Off: Dan + Shay ,Top 100 Country Tracks on Spotify
0.485,0.894,6,-4.176,1,0.0383,0.000492,0,0.0875,0.673,75.028,audio_features,20WJpmXfRbqeuY2TH5xYna,spotify:track:20WJpmXfRbqeuY2TH5xYna,https://api.spotify.com/v1/tracks/20WJpmXfRbqeuY2TH5xYna,https://api.spotify.com/v1/audio-analysis/20WJpmXfRbqeuY2TH5xYna,178190,4,Lay It On Me: Dylan Scott ,Top 100 Country Tracks on Spotify
0.605,0.716,5,-4.071,1,0.0318,0.198,0,0.311,0.512,93.943,audio_features,3CHX2PyOIx4vXXVZEsC4kG,spotify:track:3CHX2PyOIx4vXXVZEsC4kG,https://api.spotify.com/v1/tracks/3CHX2PyOIx4vXXVZEsC4kG,https://api.spotify.com/v1/audio-analysis/3CHX2PyOIx4vXXVZEsC4kG,196467,4,Put My Heart Down: Sara Evans ,Top 100 Country Tracks on Spotify
0.486,0.77,9,-4.545,1,0.0478,0.154,0,0.0947,0.406,83.945,audio_features,1WmoBNBqH88brQhIkAkr8b,spotify:track:1WmoBNBqH88brQhIkAkr8b,https://api.spotify.com/v1/tracks/1WmoBNBqH88brQhIkAkr8b,https://api.spotify.com/v1/audio-analysis/1WmoBNBqH88brQhIkAkr8b,234307,4,Pray for You: The Swon Brothers ,Top 100 Country Tracks on Spotify
0.719,0.857,5,-4.156,1,0.0431,0.263,0,0.0706,0.914,93.032,audio_features,6xUsKn0ANrp87Kwuw0F43H,spotify:track:6xUsKn0ANrp87Kwuw0F43H,https://api.spotify.com/v1/tracks/6xUsKn0ANrp87Kwuw0F43H,https://api.spotify.com/v1/audio-analysis/6xUsKn0ANrp87Kwuw0F43H,170924,4,Trailer Hitch: Kristian Bush ,Top 100 Country Tracks on Spotify
0.573,0.892,5,-3.771,1,0.0467,0.417,0,0.56,0.97,205.913,audio_features,6CsZeVdSAfEmbCNRxHL6ur,spotify:track:6CsZeVdSAfEmbCNRxHL6ur,https://api.spotify.com/v1/tracks/6CsZeVdSAfEmbCNRxHL6ur,https://api.spotify.com/v1/audio-analysis/6CsZeVdSAfEmbCNRxHL6ur,150267,4,Eat Sleep Love You Repeat: Rodney Atkins ,Top 100 Country Tracks on Spotify
0.52,0.395,7,-5.392,1,0.0447,0.932,0,0.114,0.314,72.871,audio_features,3GG5OK3fcob2Bwyqu07QtP,spotify:track:3GG5OK3fcob2Bwyqu07QtP,https://api.spotify.com/v1/tracks/3GG5OK3fcob2Bwyqu07QtP,https://api.spotify.com/v1/audio-analysis/3GG5OK3fcob2Bwyqu07QtP,229760,4,When I Was Your Man: Thomas Rhett ,Top 100 Country Tracks on Spotify
0.68,0.946,11,-3.288,1,0.0569,0.486,0,0.171,0.819,128.016,audio_features,6vZLPNtssv56YmFYPhZKp7,spotify:track:6vZLPNtssv56YmFYPhZKp7,https://api.spotify.com/v1/tracks/6vZLPNtssv56YmFYPhZKp7,https://api.spotify.com/v1/audio-analysis/6vZLPNtssv56YmFYPhZKp7,246666,4,Upside Down: Dean Brody ,Top 100 Country Tracks on Spotify
0.57,0.621,7,-4.189,1,0.0254,0.0367,0,0.0679,0.693,159.932,audio_features,1hc31O4qhv2tnSnW1290KC,spotify:track:1hc31O4qhv2tnSnW1290KC,https://api.spotify.com/v1/tracks/1hc31O4qhv2tnSnW1290KC,https://api.spotify.com/v1/audio-analysis/1hc31O4qhv2tnSnW1290KC,203373,4,What I Can't Put Down: Jon Pardi ,Top 100 Country Tracks on Spotify
0.532,0.906,0,-2.99,1,0.0418,0.051,0,0.133,0.57,123.101,audio_features,44tlexN3Rxgake8xlZePPI,spotify:track:44tlexN3Rxgake8xlZePPI,https://api.spotify.com/v1/tracks/44tlexN3Rxgake8xlZePPI,https://api.spotify.com/v1/audio-analysis/44tlexN3Rxgake8xlZePPI,211199,4,Make You Mine (feat. Ricky Skaggs): High Valley Ricky Skaggs ,Top 100 Country Tracks on Spotify
0.62,0.94,1,-2.675,1,0.0325,0.0182,0.00132,0.0706,0.79,126.988,audio_features,14qTyycMDRLUSEVeurHGvI,spotify:track:14qTyycMDRLUSEVeurHGvI,https://api.spotify.com/v1/tracks/14qTyycMDRLUSEVeurHGvI,https://api.spotify.com/v1/audio-analysis/14qTyycMDRLUSEVeurHGvI,181197,4,Wastin' Gas: Dallas Smith ,Top 100 Country Tracks on Spotify
0.563,0.58,10,-4.531,1,0.0278,0.501,0,0.122,0.261,114.065,audio_features,3G3GlamGhK0TKNODAaOwkE,spotify:track:3G3GlamGhK0TKNODAaOwkE,https://api.spotify.com/v1/tracks/3G3GlamGhK0TKNODAaOwkE,https://api.spotify.com/v1/audio-analysis/3G3GlamGhK0TKNODAaOwkE,242333,3,Better Than You Left Me: Mickey Guyton ,Top 100 Country Tracks on Spotify
0.444,0.797,5,-4.812,1,0.0448,0.026,0,0.167,0.392,147.938,audio_features,1BQ8SOhASbho6Tu68Gwa39,spotify:track:1BQ8SOhASbho6Tu68Gwa39,https://api.spotify.com/v1/tracks/1BQ8SOhASbho6Tu68Gwa39,https://api.spotify.com/v1/audio-analysis/1BQ8SOhASbho6Tu68Gwa39,229640,4,Home Sweet Home: Justin Moore Vince Neil ,Top 100 Country Tracks on Spotify
0.6,0.809,0,-6.811,1,0.124,0.117,0,0.13,0.689,180.06,audio_features,4QqpHeOph5V0eXSLyEZI06,spotify:track:4QqpHeOph5V0eXSLyEZI06,https://api.spotify.com/v1/tracks/4QqpHeOph5V0eXSLyEZI06,https://api.spotify.com/v1/audio-analysis/4QqpHeOph5V0eXSLyEZI06,190333,4,Buzz Back Girl: Jerrod Niemann ,Top 100 Country Tracks on Spotify
0.561,0.882,4,-4.587,1,0.0969,0.111,0,0.238,0.88,159.912,audio_features,5WXpUFc1oqWSj5LnmSjJjC,spotify:track:5WXpUFc1oqWSj5LnmSjJjC,https://api.spotify.com/v1/tracks/5WXpUFc1oqWSj5LnmSjJjC,https://api.spotify.com/v1/audio-analysis/5WXpUFc1oqWSj5LnmSjJjC,184280,4,One Night Between Friends: Katie Armiger ,Top 100 Country Tracks on Spotify
0.559,0.89,9,-2.422,1,0.04,0.0581,0.0081,0.156,0.494,102.967,audio_features,1mIv6XXF0sxhhcq1Ai7n09,spotify:track:1mIv6XXF0sxhhcq1Ai7n09,https://api.spotify.com/v1/tracks/1mIv6XXF0sxhhcq1Ai7n09,https://api.spotify.com/v1/audio-analysis/1mIv6XXF0sxhhcq1Ai7n09,206267,4,Headlights: Montgomery Gentry ,Top 100 Country Tracks on Spotify
0.594,0.572,5,-6.98,1,0.0525,0.514,9.07e-06,0.109,0.213,81.96,audio_features,1p0kzrWM0MPh4hjaAc5jBp,spotify:track:1p0kzrWM0MPh4hjaAc5jBp,https://api.spotify.com/v1/tracks/1p0kzrWM0MPh4hjaAc5jBp,https://api.spotify.com/v1/audio-analysis/1p0kzrWM0MPh4hjaAc5jBp,223745,4,The Way I'm Livin': Lee Ann Womack ,Top 100 Country Tracks on Spotify
